Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2011-04-29 00:00:00+10:00,7.2198439236656045,7.2198439236656045,7.073940753936768,7.073940753936768,6504,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-02 00:00:00+10:00,7.153953437044493,7.153953437044493,7.0598225593566895,7.0598225593566895,9123,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-03 00:00:00+10:00,7.064528503439638,7.088061332702637,7.064528503439638,7.088061332702637,9687,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-04 00:00:00+10:00,7.08805805382131,7.08805805382131,7.012752945245,7.0221662521362305,6851,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-05 00:00:00+10:00,7.012752945245,7.0221662521362305,7.012752945245,7.0221662521362305,2125,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-06 00:00:00+10:00,7.069235871551184,7.069235871551184,7.0598225593566895,7.0598225593566895,4185,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-09 00:00:00+10:00,7.041275501251221,7.041275501251221,7.041275501251221,7.041275501251221,67000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-10 00:00:00+10:00,6.989223003387451,6.989223003387451,6.989223003387451,6.989223003387451,1000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-11 00:00:00+10:00,7.050408460131671,7.050408460131671,7.0174627688314954,7.0409955978393555,14431,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-12 00:00:00+10:00,7.012753963470459,7.012753963470459,7.012753963470459,7.012753963470459,2005,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-13 00:00:00+10:00,6.979809543603854,7.031581401824951,6.979809543603854,7.031581401824951,5285,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-16 00:00:00+10:00,6.975102957901254,6.98451626795385,6.975102957901254,6.977880001068115,227599,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-17 00:00:00+10:00,6.9845142842852175,7.008047103881836,6.979807630595654,7.008047103881836,6855,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-18 00:00:00+10:00,6.993927795805687,7.012753963470459,6.993927795805687,7.012753963470459,2680,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-19 00:00:00+10:00,7.073942387734066,7.078649044036865,7.073942387734066,7.078649044036865,5375,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-20 00:00:00+10:00,7.078649044036865,7.078649044036865,7.078649044036865,7.078649044036865,2000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-23 00:00:00+10:00,6.989223919264797,6.989223919264797,6.965691089630127,6.965691089630127,10254,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-24 00:00:00+10:00,6.942158259995457,6.965691089630127,6.942158259995457,6.965691089630127,8185,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-25 00:00:00+10:00,6.909212180954021,6.909212180954021,6.890386008070687,6.89979887008667,8050,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-26 00:00:00+10:00,6.9751057624816895,6.9751057624816895,6.9751057624816895,6.9751057624816895,3500,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
